code,message
ACCESS_DENIED,Access denied.
ALREADY_ADDED,That user has already been added to that list.
ALREADY_BLOCKING,You are already blocking that user.
ALREADY_CLIPPED,The note has already been clipped.
ALREADY_ENDED,That game has already ended.
ALREADY_EXPIRED,The poll is already expired.
ALREADY_FAVORITED,You have not favorited the list.
ALREADY_FOLLOWING,You are already following that user.
ALREADY_LIKED,The flash has already been liked.
ALREADY_MOVED,Account was already moved to another account.
ALREADY_MUTING,You are already muting that user.
ALREADY_PINNED,That note has already been pinned.
ALREADY_PROMOTED,The note has already promoted.
ALREADY_REACTED,You are already reacting to that note.
ALREADY_VOTED,You have already voted.
AUTHENTICATION_FAILED,Authentication failed. Please ensure your token is correct.
AVATAR_NOT_AN_IMAGE,The file specified as an avatar is not an image.
BANNER_NOT_AN_IMAGE,The file specified as a banner is not an image.
BIRTHDAY_DATE_FORMAT_INVALID,Birthday date format is invalid.
BLOCKED,You are blocked by that user.
BLOCKEE_IS_YOURSELF,Blockee is yourself.
BLOCKING,You are blocking that user.
BOTH_WITH_REPLIES_AND_WITH_FILES,Specifying both withReplies and withFiles is not supported
CANNOT_CREATE_ALREADY_EXPIRED_POLL,Poll is already expired.
CANNOT_RENOTE_DUE_TO_VISIBILITY,You can not Renote due to target visibility.
CANNOT_RENOTE_OUTSIDE_OF_CHANNEL,Cannot renote outside of channel.
CANNOT_RENOTE_TO_A_PURE_RENOTE,You can not Renote a pure Renote.
CANNOT_REPLY_TO_AN_INVISIBLE_NOTE,You cannot reply to an invisible Note.
CANNOT_REPLY_TO_A_PURE_RENOTE,You can not reply to a pure Renote.
CANNOT_REPORT_THE_ADMIN,Cannot report the admin.
CANNOT_REPORT_YOURSELF,Cannot report yourself.
CAN_NOT_DELETE_INVITE_CODE,You can't delete this invite code.
CREDENTIAL_REQUIRED,Credential required.
DESTINATION_ACCOUNT_FORBIDS,"Destination account doesn't have proper 'Known As' alias, or has already moved."
DUPLICATE_NAME,Duplicate name.
EMPTY_FILE,That file is empty.
EXCEEDED_LIMIT_OF_CREATE_INVITE_CODE,You have exceeded the limit for creating an invitation code.
EXT_RESOURCE_HASH_DIDNT_MATCH,Hash did not match.
EXT_RESOURCE_RETURNED_INVALID_SCHEMA,External resource returned invalid schema.
FAILED_TO_RESOLVE_REMOTE_USER,Failed to resolve remote user.
FOLLOWEE_IS_YOURSELF,Followee is yourself.
FOLLOWER_IS_YOURSELF,Follower is yourself.
FOLLOW_REQUEST_NOT_FOUND,Follow request not found.
FORBIDDEN,Forbidden.
FORBIDDEN_TO_SET_YOURSELF,You can't set yourself as your own alias.
GTL_DISABLED,Global timeline has been disabled.
HAS_CHILD_FILES_OR_FOLDERS,This folder has child files or folders.
INAPPROPRIATE,Cannot upload the file because it has been determined that it possibly contains inappropriate content.
INCORRECT_PASSWORD,Incorrect password.
INTERNAL_ERROR,Internal error occurred. Please contact us if the error persists.
INVALID_CHOICE,Choice ID is invalid.
INVALID_DATE_TIME,Invalid date-time format
INVALID_FILE_NAME,Invalid file name.
